Марка;Ссылка;Цена 1;Цена 2;Город
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1851035.html;48 420 $;1 376 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825537.html;42 617 $;1 211 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1849974.html;38 925 $;1 106 900 грн;Киев
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1850242.html;41 844 $;1 189 900 грн;Киев
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1850018.html;27 953 $;794 900 грн;Киев
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1850179.html;23 733 $;674 900 грн;Киев
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1850576.html;23 487 $;667 900 грн;Киев
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1849962.html;23 733 $;674 900 грн;Киев
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1850313.html;33 299 $;946 900 грн;Киев
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1849970.html;27 324 $;777 000 грн;Киев
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1849709.html;7 666 $;218 000 грн;Киев
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1849723.html;20 853 $;593 000 грн;Киев
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1849706.html;16 598 $;472 000 грн;Киев
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1849704.html;5 908 $;168 000 грн;Киев
Honda GL 2020;https://auto.ria.com/newauto/auto-honda-gl-1849725.html;39 931 $;1 135 500 грн;Киев
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1841503.html;27 324 $;777 000 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825538.html;45 149 $;1 283 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836946.html;41 844 $;1 189 900 грн;Ровно
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1849500.html;41 844 $;1 189 900 грн;Днепр (Днепропетровск)
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1826390.html;23 733 $;674 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1823817.html;41 844 $;1 189 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1826394.html;27 953 $;794 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1841602.html;33 299 $;946 900 грн;Днепр (Днепропетровск)
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1840813.html;20 500 $;582 952 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1844471.html;41 035 $;1 166 900 грн;Днепр (Днепропетровск)
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1841472.html;27 324 $;777 000 грн;Днепр (Днепропетровск)
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1849574.html;29 360 $;834 900 грн;Днепр (Днепропетровск)
